"","cluster.distance","N.clusters","N.tips","N.mdsdim","N.pm","optim.N.clust"
"1","close",10,100,1,1,10
"2","close",10,100,1,2,10
"3","close",10,100,2,1,10
"4","close",10,100,2,2,10
"5","close",10,100,3,1,10
"6","close",10,100,3,2,37
"7","close",10,20,1,1,NA
"8","close",10,20,1,2,3
"9","close",10,20,2,1,NA
"10","close",10,20,2,2,NA
"11","close",10,20,3,1,74
"12","close",10,20,3,2,NA
"13","close",10,50,1,1,11
"14","close",10,50,1,2,8
"15","close",10,50,2,1,NA
"16","close",10,50,2,2,NA
"17","close",10,50,3,1,NA
"18","close",10,50,3,2,NA
"19","close",1,100,1,1,1
"20","close",1,100,1,2,1
"21","close",1,100,2,1,1
"22","close",1,100,2,2,1
"23","close",1,100,3,1,1
"24","close",1,100,3,2,1
"25","close",1,20,1,1,1
"26","close",1,20,1,2,1
"27","close",1,20,2,1,1
"28","close",1,20,2,2,1
"29","close",1,20,3,1,NA
"30","close",1,20,3,2,NA
"31","close",1,50,1,1,1
"32","close",1,50,1,2,1
"33","close",1,50,2,1,1
"34","close",1,50,2,2,1
"35","close",1,50,3,1,1
"36","close",1,50,3,2,1
"37","close",5,100,1,1,5
"38","close",5,100,1,2,5
"39","close",5,100,2,1,7
"40","close",5,100,2,2,NA
"41","close",5,100,3,1,NA
"42","close",5,100,3,2,NA
"43","close",5,20,1,1,NA
"44","close",5,20,1,2,NA
"45","close",5,20,2,1,NA
"46","close",5,20,2,2,NA
"47","close",5,20,3,1,NA
"48","close",5,20,3,2,NA
"49","close",5,50,1,1,5
"50","close",5,50,1,2,NA
"51","close",5,50,2,1,NA
"52","close",5,50,2,2,NA
"53","close",5,50,3,1,NA
"54","close",5,50,3,2,NA
"55","far",10,100,1,1,NA
"56","far",10,100,1,2,117
"57","far",10,100,2,1,NA
"58","far",10,100,2,2,98
"59","far",10,100,3,1,NA
"60","far",10,100,3,2,NA
"61","far",10,20,1,1,NA
"62","far",10,20,1,2,NA
"63","far",10,20,2,1,80
"64","far",10,20,2,2,NA
"65","far",10,20,3,1,NA
"66","far",10,20,3,2,NA
"67","far",10,50,1,1,NA
"68","far",10,50,1,2,11
"69","far",10,50,2,1,NA
"70","far",10,50,2,2,121
"71","far",10,50,3,1,NA
"72","far",10,50,3,2,NA
"73","far",1,100,1,1,1
"74","far",1,100,1,2,1
"75","far",1,100,2,1,1
"76","far",1,100,2,2,1
"77","far",1,100,3,1,1
"78","far",1,100,3,2,1
"79","far",1,20,1,1,1
"80","far",1,20,1,2,1
"81","far",1,20,2,1,98
"82","far",1,20,2,2,NA
"83","far",1,20,3,1,89
"84","far",1,20,3,2,85
"85","far",1,50,1,1,1
"86","far",1,50,1,2,1
"87","far",1,50,2,1,1
"88","far",1,50,2,2,1
"89","far",1,50,3,1,153
"90","far",1,50,3,2,117
"91","far",5,100,1,1,NA
"92","far",5,100,1,2,5
"93","far",5,100,2,1,NA
"94","far",5,100,2,2,115
"95","far",5,100,3,1,NA
"96","far",5,100,3,2,86
"97","far",5,20,1,1,NA
"98","far",5,20,1,2,NA
"99","far",5,20,2,1,NA
"100","far",5,20,2,2,60
"101","far",5,20,3,1,NA
"102","far",5,20,3,2,NA
"103","far",5,50,1,1,5
"104","far",5,50,1,2,NA
"105","far",5,50,2,1,NA
"106","far",5,50,2,2,NA
"107","far",5,50,3,1,NA
"108","far",5,50,3,2,NA
